,證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
0,1101,台泥,6.90,108,10.36,1.33,109/3
1,1102,亞泥,6.88,108,10.21,1.03,109/3
3,1104,環泥,4.44,108,11.25,0.83,109/3
5,1109,信大,5.34,108,7.72,1.01,109/3
9,1210,大成,4.76,108,13.06,1.93,109/3
16,1220,台榮,4.80,108,13.02,0.95,109/3
30,1305,華夏,4.42,108,14.71,1.45,109/3
32,1308,亞聚,5.76,108,13.36,1.03,109/3
34,1310,台苯,5.76,108,-1,1.46,109/3
38,1315,達新,5.03,108,1.82,0.80,109/3
42,1323,永裕,4.86,108,10.17,1.42,109/3
53,1409,新纖,4.45,108,8.18,0.65,109/3
62,1432,大魯閣,24.02,108,-1,1.13,109/3
63,1434,福懋,8.09,108,13.98,0.97,109/3
65,1436,華友聯,6.30,108,8.65,1.39,109/3
84,1457,宜進,6.71,108,5.28,0.73,109/3
89,1465,偉全,11.54,108,-1,0.78,109/3
120,1530,亞崴,4.98,108,8.43,0.94,109/3
129,1540,喬福,6.58,108,-1,0.98,109/3
131,1558,伸興,6.33,108,11.47,1.76,109/3
134,1582,信錦,5.23,108,10.71,1.90,109/3
135,1583,程泰,5.04,108,14.91,1.39,109/3
142,1604,聲寶,5.68,108,5.73,1.31,109/3
144,1608,華榮,5.57,108,12.47,0.79,109/3
146,1611,中電,10.00,108,4.80,0.93,109/3
149,1615,大山,8.35,108,9.50,1.55,109/3
155,1702,南僑,4.44,108,11.34,1.85,109/3
161,1712,興農,6.30,108,11.35,1.22,109/3
172,1726,永記,4.45,108,14.13,1.38,109/3
196,1817,凱撒衛,5.13,108,11.27,1.44,109/3
204,2006,東和鋼鐵,4.12,108,13.61,1.34,109/3
212,2015,豐興,5.11,108,14.25,1.83,109/3
214,2020,美亞,10.34,108,10.78,1.34,109/3
219,2027,大成鋼,4.11,108,-1,1.63,109/3
242,2115,六暉-1KY,5.96,108,7.41,1.61,109/3
251,2233,宇隆,4.18,108,14.85,1.79,109/3
257,2301,光寶科,6.50,108,10.98,1.60,109/3
266,2317,鴻海,5.12,108,10.98,0.94,109/3
269,2324,仁寶,6.17,108,12.47,0.82,109/3
282,2347,聯強,5.84,108,9.74,1.48,109/3
288,2354,鴻準,4.84,108,13.44,0.73,109/3
290,2356,英業達,5.50,108,10.61,1.47,109/3
291,2357,華碩,5.67,108,9.48,1.00,109/3
296,2363,矽統,10.18,108,-1,0.93,109/3
316,2392,正崴,5.66,108,10.11,0.94,109/3
330,2414,精技,5.88,108,12.03,1.53,109/3
334,2420,新巨,5.99,108,11.25,1.65,109/3
343,2430,燦坤,5.22,108,12.28,0.68,109/3
345,2433,互盛電,7.47,108,12.95,1.89,109/3
351,2441,超豐,4.11,108,13.22,1.85,109/3
356,2449,京元電子,5.16,108,10.80,1.55,109/3
359,2453,凌群,5.78,108,12.36,0.95,109/3
365,2459,敦吉,6.56,108,10.25,1.12,109/3
374,2471,資通,6.06,108,11.38,1.50,109/3
376,2474,可成,5.12,108,13.90,1.04,109/3
387,2488,漢平,7.76,108,12.41,1.18,109/3
391,2493,揚博,7.16,108,13.90,1.74,109/3
392,2495,普安,4.73,108,-1,0.89,109/3
405,2520,冠德,4.12,108,9.03,1.37,109/3
410,2535,達欣工,5.21,108,9.08,1.10,109/3
411,2536,宏普,5.07,108,11.26,0.65,109/3
413,2538,基泰,4.81,108,-1,0.72,109/3
419,2546,根基,6.10,108,10.87,1.77,109/3
421,2548,華固,8.47,108,10.78,1.46,109/3
423,2601,益航,13.73,108,-1,0.76,109/3
434,2614,東森,5.92,108,12.90,1.54,109/3
436,2616,山隆,5.68,108,11.96,0.91,109/3
460,2812,台中銀,7.31,108,10.33,0.80,109/3
461,2816,旺旺保,6.88,108,6.64,0.78,109/3
462,2820,華票,4.85,108,13.38,0.81,109/3
463,2823,中壽,5.44,108,6.35,0.65,109/3
464,2832,台產,4.94,108,10.77,0.79,109/3
466,2836,高雄銀,4.98,108,14.24,0.69,109/3
467,2838,聯邦銀,7.66,108,10.25,0.60,109/3
469,2845,遠東銀,6.95,108,12.53,0.76,109/3
470,2849,安泰銀,4.79,108,14.95,0.88,109/3
471,2850,新產,4.65,108,7.24,1.00,109/3
472,2851,中再保,4.05,108,8.74,1.04,109/3
473,2852,第一保,7.30,108,12.18,0.60,109/3
474,2855,統一證,7.59,108,8.54,0.80,109/3
477,2881,富邦金,4.50,108,7.00,0.78,109/3
478,2882,國泰金,4.96,108,7.90,0.73,109/3
479,2883,開發金,6.73,108,11.89,0.70,109/3
481,2885,元大金,5.43,108,10.29,0.95,109/3
483,2887,台新金,6.04,108,10.86,0.85,109/3
484,2888,新光金,4.53,108,7.54,0.47,109/3
485,2889,國票金,6.83,108,11.65,0.94,109/3
486,2890,永豐金,6.25,108,10.37,0.84,109/3
487,2891,中信金,5.13,108,9.56,1.05,109/3
492,2904,匯僑,6.50,108,11.24,1.76,109/3
493,2905,三商,9.52,108,11.80,0.99,109/3
500,2915,潤泰全,7.09,108,5.78,0.44,109/3
501,2923,鼎固-1KY,8.75,108,-1,0.86,109/3
502,2929,淘帝-1KY,7.31,108,-1,0.53,109/3
504,2939,凱羿-1KY,12.68,108,-1,1.65,109/3
508,3005,神基,5.74,108,11.38,1.88,109/3
511,3010,華立,4.34,108,10.17,1.47,109/3
527,3028,增你強,4.61,108,13.07,0.98,109/3
528,3029,零壹,5.15,108,10.51,1.93,109/3
535,3036,文曄,5.18,108,10.01,0.85,109/3
537,3038,全台,6.33,108,11.84,1.49,109/3
542,3044,健鼎,5.97,108,10.72,1.86,109/3
546,3048,益登,4.34,108,9.56,1.45,109/3
566,3209,全科,5.44,108,10.15,1.43,109/3
568,3231,緯創,6.52,108,9.48,1.24,109/3
575,3312,弘憶股,8.11,108,12.76,1.30,109/3
594,3501,維熹,6.21,108,12.45,0.98,109/3
598,3528,安馳,5.95,108,12.63,1.90,109/3
614,3596,智易,4.83,108,13.95,1.83,109/3
631,3702,大聯大,5.81,108,9.98,1.22,109/3
634,3705,永信,4.92,108,14.21,1.90,109/3
635,3706,神達,7.42,108,11.96,0.86,109/3
639,4104,佳醫,5.77,108,14.82,1.07,109/3
653,4426,利勤,4.14,108,-1,1.58,109/3
674,4722,國精化,6.33,108,11.25,1.14,109/3
687,4915,致伸,4.90,108,10.25,1.75,109/3
688,4916,事欣科,8.00,108,-1,1.57,109/3
694,4938,和碩,6.81,108,7.30,1.09,109/3
695,4942,嘉彰,6.42,108,8.83,0.78,109/3
708,4999,鑫禾,5.22,108,10.83,1.06,109/3
718,5283,禾聯碩,7.52,108,8.68,1.98,109/3
728,5519,隆大,8.65,108,10.00,0.82,109/3
730,5522,遠雄,6.59,108,13.43,1.08,109/3
734,5534,長虹,7.70,108,9.62,1.39,109/3
735,5538,東明-1KY,4.51,108,12.22,1.44,109/3
741,5876,上海商銀,5.13,108,13.07,1.17,109/3
745,6005,群益證,6.43,108,9.02,0.78,109/3
746,6024,群益期,5.04,108,12.61,1.27,109/3
747,6108,競國,7.66,108,-1,0.96,109/3
748,6112,聚碩,7.47,108,14.93,1.83,109/3
767,6176,瑞儀,6.90,108,11.39,1.95,109/3
770,6184,大豐電,7.00,108,12.38,1.53,109/3
771,6189,豐藝,6.49,108,12.92,1.66,109/3
773,6192,巨路,4.71,108,11.78,1.50,109/3
776,6201,亞弘電,6.89,108,13.54,1.35,109/3
782,6214,精誠,5.97,108,9.77,1.57,109/3
787,6226,光鼎,4.69,108,10.02,0.82,109/3
790,6239,力成,4.54,108,10.83,1.73,109/3
793,6257,矽格,4.87,108,10.93,1.63,109/3
794,6269,台郡,4.09,108,13.41,1.77,109/3
811,6442,光聖,4.33,108,-1,1.21,109/3
836,6641,基士德-1KY,6.90,108,11.53,1.91,109/3
842,6671,三能-1KY,7.61,108,10.68,1.52,109/3
864,8112,至上,8.21,108,8.80,1.63,109/3
866,8131,福懋科,5.79,108,12.06,1.54,109/3
867,8150,南茂,5.42,108,10.92,1.20,109/3
868,8163,達方,5.25,108,14.24,1.45,109/3
871,8213,志超,5.65,108,6.56,1.00,109/3
876,8271,宇瞻,6.42,108,11.92,1.45,109/3
878,8367,建新國際,4.10,108,10.43,1.05,109/3
891,8466,美吉吉-1KY,6.45,108,12.16,1.63,109/3
906,9905,大華,4.35,108,12.04,0.99,109/3
918,9924,福興,5.78,108,10.41,1.51,109/3
930,9939,宏全,5.13,108,10.51,1.36,109/3
936,9945,潤泰新,14.48,108,8.97,0.65,109/3
937,9946,三發地產,9.27,108,10.17,0.79,109/3
