,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/01/04,104,348,3,448,010,33.05,33.30,32.80
1,110/01/05,68,400,2,260,040,33.05,33.15,33.00
2,110/01/06,188,098,6,186,406,33.10,33.10,32.75
3,110/01/07,43,511,1,435,892,33.10,33.10,32.85
4,110/01/08,38,081,1,256,655,33.00,33.10,32.90
5,110/01/11,106,097,3,503,441,33.20,33.20,32.90
6,110/01/12,155,451,5,101,278,32.90,32.95,32.75
7,110/01/13,44,130,1,449,852,32.95,32.95,32.75
8,110/01/14,87,194,2,857,420,32.80,32.90,32.65
9,110/01/15,93,115,3,045,424,32.80,32.90,32.55
10,110/01/18,90,427,2,949,429,32.60,32.75,32.50
11,110/01/19,188,222,6,106,457,32.70,32.75,32.30
12,110/01/20,202,825,6,510,354,32.30,32.45,31.75
